649,Armorlear da Ruína,202,0,1440,8029,305,1330,7,119,119,1284,0,0,0,0,0,0,31
650,Armorlear Pesado da Ruína,203,0,1441,8327,105,1331,7,119,119,1284,0,0,0,0,0,0,31
651,Sentinela Cruel,305,0,1502,7138,210,1331,7,119,119,1287,0,0,0,0,0,0,31
652,Sentinela da Ruína,317,0,1504,6901,175,1332,7,119,119,1284,0,0,0,0,0,0,31
653,Cavaleiro Armorlear da Ruína,241,0,1439,8626,190,1332,8,119,119,1284,0,0,0,0,0,0,31
654,Núcleo Sentinela Cruel,305,0,1502,7667,350,1333,15,119,119,1287,0,0,0,0,0,0,31
655,Perpetrador do Demônio,236,0,1461,8520,175,1333,10,119,119,1280,0,0,0,0,0,0,31
656,Karamere Violento,203,0,1441,37142,168,310,9,119,119,1284,0,0,0,0,0,0,32
657,Kramere Violento,241,0,1439,37142,190,310,9,119,119,1284,0,0,0,0,0,0,32
658,Panzabie Violento,295,0,1461,44217,155,310,12,119,119,1280,0,0,0,0,0,0,32
659,Balavan Violento,205,0,0,57760,357,311,7,119,119,1284,0,0,0,0,0,0,33
